rouge1_precision,rouge1_recall,rouge1_fmeasure,rouge2_precision,rouge2_recall,rouge2_fmeasure,rougeL_precision,rougeL_recall,rougeL_fmeasure
0.5833333333333334,0.9655172413793104,0.7272727272727274,0.5578947368421052,0.9298245614035088,0.6973684210526315,0.5833333333333334,0.9655172413793104,0.7272727272727274
1.0,0.7333333333333333,0.846153846153846,1.0,0.7241379310344828,0.8400000000000001,1.0,0.7333333333333333,0.846153846153846
0.896551724137931,0.9629629629629629,0.9285714285714286,0.8488372093023255,0.9125,0.8795180722891567,0.8850574712643678,0.9506172839506173,0.9166666666666666
0.6443298969072165,0.8278145695364238,0.7246376811594204,0.5751295336787565,0.74,0.6472303206997084,0.6134020618556701,0.7880794701986755,0.6898550724637681
1.0,0.9487179487179487,0.9736842105263158,0.9722222222222222,0.9210526315789473,0.9459459459459458,1.0,0.9487179487179487,0.9736842105263158
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
0.6018518518518519,1.0,0.7514450867052023,0.5981308411214953,1.0,0.7485380116959064,0.6018518518518519,1.0,0.7514450867052023
0.9090909090909091,1.0,0.9523809523809523,0.9080459770114943,1.0,0.9518072289156626,0.9090909090909091,1.0,0.9523809523809523
0.9019607843137255,1.0,0.9484536082474228,0.9,1.0,0.9473684210526316,0.9019607843137255,1.0,0.9484536082474228
0.8828828828828829,0.98989898989899,0.9333333333333333,0.8727272727272727,0.9795918367346939,0.923076923076923,0.8828828828828829,0.98989898989899,0.9333333333333333
